order_id,classe_real,classe_predita,probabilidade_predita,prob_0,prob_2
2ac1db48-e4a1-47e4-9c01-2bb0a0fe5f50,0,0,0.98,0.98,0.02
876018e5-ffa2-4549-85f1-9f929f7d717e,2,2,1.0,0.0,1.0
dd20ad58-6ab5-4940-90db-39b76c813766,2,2,1.0,0.0,1.0
2d2f8f23-d6c5-4479-849f-239597ec1e62,2,2,1.0,0.0,1.0
c52d4dad-7da3-44cd-b49a-cdc9e6da3c9f,2,2,1.0,0.0,1.0
4557a3c1-8f9f-4e10-9651-cc46e3f80636,2,2,0.99,0.01,0.99
44afdfb9-e84a-48fd-877f-f0c1d70811e8,2,2,1.0,0.0,1.0
75f25189-d8c5-42b1-93e5-b17853c3d7a2,2,2,0.97,0.03,0.97
e1593d47-ae96-4057-8478-6b93a41e96d7,2,2,0.99,0.01,0.99
1fe745e9-dc0f-4057-b902-0b3b353436f7,2,2,1.0,0.0,1.0
6c21446a-3e8e-4940-a9e0-b54088171d02,2,2,0.97,0.03,0.97
8a6e6da5-3e0e-44d8-9bad-917141e0bd19,2,2,1.0,0.0,1.0
4e21678d-91a4-47eb-951e-e55394e07c4e,0,0,0.99,0.99,0.01
d6d793e1-ddad-41e2-b594-5e7dc7d2e988,2,2,1.0,0.0,1.0
d8e9caac-d245-4ece-b1d6-0b9a21f3c62b,0,0,0.99,0.99,0.01
88bc32da-83be-4292-9d3e-5b951e722051,2,2,1.0,0.0,1.0
a511556a-a2f2-4312-9388-b634420d1767,2,2,1.0,0.0,1.0
bd2a7ab4-6ffb-4e23-b1ab-1e958d869278,2,2,1.0,0.0,1.0
6ca1fc1b-1b69-4c85-a4ee-9ed13639b45f,2,2,0.99,0.01,0.99
f8db7b03-c4b6-408e-b531-0661d65caee7,0,0,0.98,0.98,0.02
727edd04-c3bc-43d2-b4cc-2542caa26e36,2,2,1.0,0.0,1.0
671e166c-005b-4ae8-bea0-71a409c053fb,2,2,0.98,0.02,0.98
c37825d0-e361-4d6b-b9be-3e3a1d18c9a7,2,2,0.99,0.01,0.99
05e1a1de-72ca-4539-becd-616bb1629fee,2,2,1.0,0.0,1.0
f7a4594b-c751-45e5-9c7a-34c361105ab7,2,2,1.0,0.0,1.0
f0059d4e-e1ce-4610-80fd-d89f1e7f2a0f,0,0,0.87,0.87,0.13
0de1cf82-d0b6-4812-8d4a-8b48c468f311,2,2,1.0,0.0,1.0
2bb5beaa-47ba-43ca-a527-3142a1afe048,2,2,1.0,0.0,1.0
028bf349-0d0b-4e4f-bde5-54fef910e9b6,2,2,0.99,0.01,0.99
cf185ff6-0e19-4d61-a27d-41e82b0680f5,2,2,1.0,0.0,1.0
0cf170e5-a6c8-4e34-9afd-63153b56428e,2,2,1.0,0.0,1.0
1891ed0c-6121-4e11-809e-d632d77e1a49,2,2,1.0,0.0,1.0
4181208b-9f3e-4eab-8f2f-c0a6d1c6bcf5,2,2,1.0,0.0,1.0
dcc8e4cc-1d82-4f78-a6f3-714437d315ec,2,2,1.0,0.0,1.0
d862b950-4549-48e6-9b40-c171102265c9,2,2,1.0,0.0,1.0
b6439400-89b2-4da2-882c-85dd33a2162e,0,0,0.98,0.98,0.02
c07bbd53-89a3-4c01-9b9d-729d30553e52,0,0,0.98,0.98,0.02
3feb429e-7693-49a3-ae1a-3452c965dfe4,2,2,0.97,0.03,0.97
d110d68f-204f-4718-b318-98eb07002b43,2,2,1.0,0.0,1.0
